target_chembl_ID,organism,tax_id,pref_name,component_synonym
CHEMBL3559,Homo sapiens,9606,Steryl-sulfatase,STS
CHEMBL2808,Homo sapiens,9606,LXR-alpha,NR1H3
CHEMBL287,Homo sapiens,9606,Sigma opioid receptor,SIGMAR1
CHEMBL3227,Homo sapiens,9606,Metabotropic glutamate receptor 5,GRM5
CHEMBL2820,Homo sapiens,9606,Coagulation factor XI,F11
CHEMBL2821,Homo sapiens,9606,Coagulation factor XII,F12
CHEMBL3759,Homo sapiens,9606,Histamine H4 receptor,HRH4
CHEMBL2243,Homo sapiens,9606,Anandamide amidohydrolase,FAAH
CHEMBL1865,Homo sapiens,9606,Histone deacetylase 6,HDAC6
CHEMBL4561,Homo sapiens,9606,Neuropeptide Y receptor type 5,NPY5R
CHEMBL288,Homo sapiens,9606,Phosphodiesterase 4D,PDE4D
CHEMBL4005,Homo sapiens,9606,PI3-kinase p110-alpha subunit,PIK3CA
CHEMBL2689,Homo sapiens,9606,Macrophage-stimulating protein receptor,MST1R
CHEMBL3618,Homo sapiens,9606,Coagulation factor V,F5
CHEMBL4302,Homo sapiens,9606,P-glycoprotein 1,ABCB1
CHEMBL1873,Homo sapiens,9606,Tissue-type plasminogen activator,PLAT
CHEMBL2842,Homo sapiens,9606,Serine/threonine-protein kinase mTOR,MTOR
CHEMBL4179,Homo sapiens,9606,c-Jun N-terminal kinase 2,MAPK9
CHEMBL2637,Homo sapiens,9606,c-Jun N-terminal kinase 3,MAPK10
CHEMBL3587,Homo sapiens,9606,Dual specificity mitogen-activated protein kinase kinase 1,MAP2K1
CHEMBL3902,Homo sapiens,9606,Glutathione S-transferase Pi,GSTP1
CHEMBL3670,Homo sapiens,9606,3-beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type II,HSD3B2
CHEMBL2706,Homo sapiens,9606,Receptor-type tyrosine-protein phosphatase beta,PTPRB
CHEMBL4183,Homo sapiens,9606,P-selectin glycoprotein ligand 1,SELPLG
CHEMBL3717,Homo sapiens,9606,Hepatocyte growth factor receptor,MET
CHEMBL3706,Homo sapiens,9606,ADAM17,ADAM17
CHEMBL1980,Homo sapiens,9606,Sodium channel protein type V alpha subunit,SCN5A
CHEMBL4235,Homo sapiens,9606,11-beta-hydroxysteroid dehydrogenase 1,HSD11B1
CHEMBL4342,Homo sapiens,9606,Group X secretory phospholipase A2,PLA2G10
CHEMBL3890,Homo sapiens,9606,Selectin E,SELE
CHEMBL298,Homo sapiens,9606,Cholecystokinin B receptor,CCKBR
CHEMBL3864,Homo sapiens,9606,Protein-tyrosine phosphatase 2C,PTPN11
CHEMBL2954,Homo sapiens,9606,Cathepsin S,CTSS
CHEMBL4616,Homo sapiens,9606,Ghrelin receptor,GHSR
CHEMBL4051,Homo sapiens,9606,Cystic fibrosis transmembrane conductance regulator,CFTR
CHEMBL2722,Homo sapiens,9606,Cytochrome P450 11B2,CYP11B2
CHEMBL4331,Homo sapiens,9606,Hemoglobin beta chain,HBB
CHEMBL4029,Homo sapiens,9606,Interleukin-8 receptor A,CXCR1
CHEMBL4015,Homo sapiens,9606,C-C chemokine receptor type 2,CCR2
CHEMBL4801,Homo sapiens,9606,Caspase-1,CASP1
CHEMBL3116,Homo sapiens,9606,Cyclin-dependent kinase 9,CDK9
CHEMBL3117,Homo sapiens,9606,Choline kinase alpha,CHKA
CHEMBL4333,Homo sapiens,9606,Sphingosine 1-phosphate receptor Edg-1,S1PR1
CHEMBL3045,Homo sapiens,9606,Protein kinase C beta,PRKCB
CHEMBL4040,Homo sapiens,9606,MAP kinase ERK2,MAPK1
CHEMBL3385,Homo sapiens,9606,MAP kinase ERK1,MAPK3
CHEMBL3921,Homo sapiens,9606,Heparanase,HPSE
CHEMBL3105,Homo sapiens,9606,Poly [ADP-ribose] polymerase-1,PARP1
CHEMBL301,Homo sapiens,9606,Cyclin-dependent kinase 2,CDK2
CHEMBL2337,Homo sapiens,9606,Glycine transporter 1,SLC6A9
CHEMBL3923,Homo sapiens,9606,Nischarin,NISCH
CHEMBL3901,Homo sapiens,9606,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,ATP2A2
CHEMBL3218,Homo sapiens,9606,CD22,CD22
CHEMBL3106,Homo sapiens,9606,Thymidine phosphorylase,TYMP
CHEMBL3439,Homo sapiens,9606,Aminopeptidase A,ENPEP
CHEMBL2409,Homo sapiens,9606,Epoxide hydratase,EPHX2
CHEMBL3107,Homo sapiens,9606,Basic fibroblast growth factor,FGF2
CHEMBL1955,Homo sapiens,9606,Vascular endothelial growth factor receptor 3,FLT4
CHEMBL1841,Homo sapiens,9606,Tyrosine-protein kinase FYN,FYN
CHEMBL1784,Homo sapiens,9606,Glucagon-like peptide 1 receptor,GLP1R
CHEMBL3234,Homo sapiens,9606,Tyrosine-protein kinase HCK,HCK
CHEMBL3955,Homo sapiens,9606,Fibronectin receptor alpha,ITGA5
CHEMBL4304,Homo sapiens,9606,Calcium-activated potassium channel subunit alpha-1,KCNMA1
CHEMBL3905,Homo sapiens,9606,Tyrosine-protein kinase Lyn,LYN
CHEMBL3119,Homo sapiens,9606,Transient receptor potential cation channel subfamily V member 4,TRPV4
CHEMBL3795,Homo sapiens,9606,Melanocortin receptor 1,MC1R
CHEMBL2708,Homo sapiens,9606,Mitogen-activated protein kinase kinase kinase 11,MAP3K11
CHEMBL4393,Homo sapiens,9606,Matrix metalloproteinase 12,MMP12
CHEMBL2873,Homo sapiens,9606,Mitogen-activated protein kinase kinase kinase 10,MAP3K10
CHEMBL1847,Homo sapiens,9606,GABA receptor beta-3 subunit,GABRB3
CHEMBL2815,Homo sapiens,9606,Nerve growth factor receptor Trk-A,NTRK1
CHEMBL2998,Homo sapiens,9606,P2X purinoceptor 3,P2RX3
CHEMBL4398,Homo sapiens,9606,Purinergic receptor P2Y2,P2RY2
CHEMBL3973,Homo sapiens,9606,Fibroblast growth factor receptor 4,FGFR4
CHEMBL2742,Homo sapiens,9606,Fibroblast growth factor receptor 3,FGFR3
CHEMBL3267,Homo sapiens,9606,PI3-kinase p110-gamma subunit,PIK3CG
CHEMBL3896,Homo sapiens,9606,Voltage-gated calcium channel alpha2/delta subunit 2,CACNA2D2
CHEMBL3991,Homo sapiens,9606,Coagulation factor VII,F7
CHEMBL2925,Homo sapiens,9606,Voltage-gated potassium channel subunit Kv7.5,KCNQ5
CHEMBL2273,Homo sapiens,9606,Caspase-9,CASP9
CHEMBL3310,Homo sapiens,9606,Histone deacetylase 11,HDAC11
CHEMBL3720,Homo sapiens,9606,ATP-citrate synthase,ACLY
CHEMBL3004,Homo sapiens,9606,Multidrug resistance-associated protein 1,ABCC1
CHEMBL2872,Homo sapiens,9606,Mitogen-activated protein kinase kinase kinase 9,MAP3K9
CHEMBL308,Homo sapiens,9606,Cyclin-dependent kinase 1,CDK1
CHEMBL3243,Homo sapiens,9606,Leukocyte common antigen,PTPRC
CHEMBL5375,Hepatitis C virus,11103,Hepatitis C virus NS5B RNA-dependent RNA polymerase,NS5B
CHEMBL3242,Homo sapiens,9606,Carbonic anhydrase XII,CA12
CHEMBL3979,Homo sapiens,9606,Peroxisome proliferator-activated receptor delta,PPARD
CHEMBL2996,Homo sapiens,9606,Protein kinase C delta,PRKCD
CHEMBL4822,Homo sapiens,9606,Beta-secretase 1,BACE1
CHEMBL2276,Homo sapiens,9606,c-Jun N-terminal kinase 1,MAPK8
CHEMBL3956,Homo sapiens,9606,Mitogen-activated protein kinase kinase kinase 1,MAP3K1
CHEMBL3972,Homo sapiens,9606,GAR transformylase,GART
CHEMBL3295,Homo sapiens,9606,Pepsin A,PGA5
CHEMBL2929,Homo sapiens,9606,Subtilisin/kexin type 9,PCSK9
CHEMBL1918,Homo sapiens,9606,Glutamate receptor ionotropic kainate 1,GRIK1
CHEMBL2252,Homo sapiens,9606,Dipeptidyl peptidase I,CTSC
CHEMBL4481,Homo sapiens,9606,"Nitric oxide synthase, inducible",NOS2
CHEMBL3471,Human immunodeficiency virus 1,11676,Human immunodeficiency virus type 1 integrase,pol
CHEMBL3145,Homo sapiens,9606,PI3-kinase p110-beta subunit,PIK3CB
CHEMBL4445,Homo sapiens,9606,"Serine/threonine protein phosphatase 2B catalytic subunit, alpha isoform",PPP3CA
CHEMBL3273,Homo sapiens,9606,Sodium/hydrogen exchanger 3,SLC9A3
CHEMBL321,Homo sapiens,9606,Matrix metalloproteinase 9,MMP9
CHEMBL2916,Homo sapiens,9606,Telomerase reverse transcriptase,TERT
CHEMBL2007,Homo sapiens,9606,Platelet-derived growth factor receptor alpha,PDGFRA
CHEMBL2755,Homo sapiens,9606,Glutathione reductase,GSR
CHEMBL4703,Homo sapiens,9606,"Serine/threonine protein phosphatase 2A, catalytic subunit, alpha isoform",PPP2CA
CHEMBL4427,Homo sapiens,9606,Prostanoid DP receptor,PTGDR
CHEMBL3660,Homo sapiens,9606,Vitronectin receptor alpha,ITGAV
CHEMBL3631,Homo sapiens,9606,Integrin beta-2,ITGB2
CHEMBL4282,Homo sapiens,9606,Serine/threonine-protein kinase AKT,AKT1
CHEMBL1974,Homo sapiens,9606,Tyrosine-protein kinase receptor FLT3,FLT3
CHEMBL2373,Homo sapiens,9606,C5a anaphylatoxin chemotactic receptor,C5AR1
CHEMBL4338,Homo sapiens,9606,Purine nucleoside phosphorylase,PNP
CHEMBL3551,Homo sapiens,9606,TRAIL receptor-1,TNFRSF10A
CHEMBL3553,Homo sapiens,9606,Tyrosine-protein kinase TYK2,TYK2
CHEMBL325,Homo sapiens,9606,Histone deacetylase 1,HDAC1
CHEMBL3009,Homo sapiens,9606,Receptor protein-tyrosine kinase erbB-4,ERBB4
CHEMBL3194,Homo sapiens,9606,Transthyretin,TTR
CHEMBL3161,Homo sapiens,9606,Leukocyte adhesion molecule-1,SELL
CHEMBL5378,Homo sapiens,9606,P-selectin,SELP
CHEMBL4073,Homo sapiens,9606,Matrix metalloproteinase 7,MMP7
CHEMBL3026,Homo sapiens,9606,GABA receptor alpha-3 subunit,GABRA3
CHEMBL4956,Homo sapiens,9606,GABA receptor alpha-2 subunit,GABRA2
CHEMBL1917,Homo sapiens,9606,Somatostatin receptor 1,SSTR1
CHEMBL2725,Enterobacter cloacae,550,Beta-lactamase,ampC
CHEMBL3055,Homo sapiens,9606,Cyclin-dependent kinase 7,CDK7
CHEMBL1844,Homo sapiens,9606,Macrophage colony stimulating factor receptor,CSF1R
CHEMBL4323,Homo sapiens,9606,Phospholipase A2 group V,PLA2G5
CHEMBL2285,Homo sapiens,9606,ADAMTS5,ADAMTS5
CHEMBL5137,Homo sapiens,9606,Metabotropic glutamate receptor 2,GRM2
CHEMBL3729,Homo sapiens,9606,Carbonic anhydrase IV,CA4
CHEMBL2778,Homo sapiens,9606,Ileal bile acid transporter,SLC10A2
CHEMBL4123,Homo sapiens,9606,Neurotensin receptor 1,NTSR1
CHEMBL4128,Homo sapiens,9606,Tyrosine-protein kinase TIE-2,TEK
CHEMBL2782,Homo sapiens,9606,Acyl coenzyme A:cholesterol acyltransferase 1,SOAT1
CHEMBL4501,Homo sapiens,9606,Ribosomal protein S6 kinase 1,RPS6KB1
CHEMBL4502,Homo sapiens,9606,Cytidine deaminase,CDA
CHEMBL331,Homo sapiens,9606,Cyclin-dependent kinase 4,CDK4
CHEMBL4036,Homo sapiens,9606,Cyclin-dependent kinase 5,CDK5
CHEMBL3522,Homo sapiens,9606,Cytochrome P450 17A1,CYP17A1
CHEMBL3594,Homo sapiens,9606,Carbonic anhydrase IX,CA9
CHEMBL4630,Homo sapiens,9606,Serine/threonine-protein kinase Chk1,CHEK1
CHEMBL4792,Homo sapiens,9606,Orexin receptor 2,HCRTR2
CHEMBL332,Homo sapiens,9606,Matrix metalloproteinase-1,MMP1
CHEMBL333,Homo sapiens,9606,Matrix metalloproteinase-2,MMP2
CHEMBL4439,Homo sapiens,9606,TGF-beta receptor type I,TGFBR1
CHEMBL3623,Homo sapiens,9606,Quinone reductase 1,NQO1
CHEMBL4011,Human immunodeficiency virus type 1 group M subtype B (isolate HXB2)(HIV-1),11706,Human immunodeficiency virus type 1 Tat protein,tat
CHEMBL3520,Human immunodeficiency virus type 1 group M subtype B (isolate HXB2)(HIV-1),11706,Envelope polyprotein GP160,env
CHEMBL3810,Homo sapiens,9606,Fibronectin,FN1
CHEMBL340,Homo sapiens,9606,Cytochrome P450 3A4,CYP3A4
CHEMBL4266,Homo sapiens,9606,Voltage-gated P/Q-type calcium channel alpha-1A subunit,CACNA1A
CHEMBL2073,Homo sapiens,9606,Tyrosine-protein kinase YES,YES1
CHEMBL4979,Homo sapiens,9606,Sodium/glucose cotransporter 1,SLC5A1
CHEMBL5031,Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG12228),208964,Beta-lactamase,ampC
CHEMBL2072,Homo sapiens,9606,Sodium channel protein type IV alpha subunit,SCN4A
CHEMBL4296,Homo sapiens,9606,Sodium channel protein type IX alpha subunit,SCN9A
CHEMBL4691,Homo sapiens,9606,Proteinase activated receptor 4,F2RL3
CHEMBL4187,Homo sapiens,9606,Sodium channel protein type II alpha subunit,SCN2A
CHEMBL5163,Homo sapiens,9606,Sodium channel protein type III alpha subunit,SCN3A
CHEMBL5167,Homo sapiens,9606,Sodium channel protein type XI alpha subunit,SCN11A
CHEMBL5202,Homo sapiens,9606,Sodium channel protein type VIII alpha subunit,SCN8A
CHEMBL5451,Homo sapiens,9606,Sodium channel protein type X alpha subunit,SCN10A
CHEMBL3778,Homo sapiens,9606,Interleukin-1 receptor-associated kinase 4,IRAK4
CHEMBL3798,Homo sapiens,9606,Calcitonin gene-related peptide type 1 receptor,CALCRL
CHEMBL2011,Mycobacterium tuberculosis,1773,Fatty acid synthase,fas
CHEMBL2012,Homo sapiens,9606,Vitamin K-dependent gamma-carboxylase,GGCX
CHEMBL2019,Homo sapiens,9606,Type I iodothyronine deiodinase (Type-I 5'-deiodinase) (DIOI) (Type 1 DI) (5DI),DIO1
CHEMBL4722,Homo sapiens,9606,Serine/threonine-protein kinase Aurora-A,AURKA
CHEMBL3535,Homo sapiens,9606,Phosphodiesterase 9A,PDE9A
CHEMBL4096,Homo sapiens,9606,Cellular tumor antigen p53,TP53
CHEMBL3884,Homo sapiens,9606,Sodium/glucose cotransporter 2,SLC5A2
CHEMBL3820,Homo sapiens,9606,Hexokinase type IV,GCK
CHEMBL4093,Homo sapiens,9606,LXR-beta,NR1H2
CHEMBL5024,Homo sapiens,9606,Serine-protein kinase ATR,ATR
CHEMBL3437,Homo sapiens,9606,"Amine oxidase, copper containing",AOC3
CHEMBL3935,Homo sapiens,9606,Serine/threonine-protein kinase Aurora-C,AURKC
CHEMBL5071,Homo sapiens,9606,G protein-coupled receptor 44,PTGDR2
CHEMBL3788,Homo sapiens,9606,Serine/threonine-protein kinase PLK4,PLK4
CHEMBL2068,Homo sapiens,9606,Ephrin type-A receptor 2,EPHA2
CHEMBL4954,Homo sapiens,9606,Ephrin type-A receptor 3,EPHA3
CHEMBL3983,Homo sapiens,9606,Dual specificity protein kinase TTK,TTK
CHEMBL4223,Homo sapiens,9606,Tyrosine-protein kinase FRK,FRK
CHEMBL4601,Homo sapiens,9606,Tyrosine-protein kinase BRK,PTK6
CHEMBL5285,Homo sapiens,9606,Mitogen-activated protein kinase kinase kinase 5,MAP3K5
CHEMBL1998,Homo sapiens,9606,Synaptic vesicle glycoprotein 2A,SV2A
CHEMBL4409,Homo sapiens,9606,Phosphodiesterase 10A,PDE10A
CHEMBL5034,Homo sapiens,9606,GABA-B receptor 2,GABBR2
CHEMBL5443,Homo sapiens,9606,Cell division cycle 7-related protein kinase,CDC7
CHEMBL2041,Homo sapiens,9606,Tyrosine-protein kinase receptor RET,RET
CHEMBL4482,Homo sapiens,9606,Serine/threonine-protein kinase PAK 4,PAK4
CHEMBL5251,Homo sapiens,9606,Tyrosine-protein kinase BTK,BTK
CHEMBL5491,Homo sapiens,9606,Serine/threonine-protein kinase WEE1,WEE1
CHEMBL5145,Homo sapiens,9606,Serine/threonine-protein kinase B-raf,BRAF
CHEMBL5147,Homo sapiens,9606,Ephrin type-B receptor 4,EPHB4
CHEMBL5141,Homo sapiens,9606,Cytochrome P450 26A1,CYP26A1
CHEMBL4530,Homo sapiens,9606,Coagulation factor XIII,F13A1
CHEMBL4531,Homo sapiens,9606,Galectin-3,LGALS3
CHEMBL5287,Homo sapiens,9606,Bile acid transporter,SLC10A1
CHEMBL4581,Homo sapiens,9606,Kinesin-like protein 1,KIF11
CHEMBL4917,Homo sapiens,9606,Complement C3,C3
CHEMBL4683,Homo sapiens,9606,Fibroblast activation protein alpha,FAP
CHEMBL4191,Homo sapiens,9606,Monoglyceride lipase,MGLL
CHEMBL4625,Homo sapiens,9606,Apoptosis regulator Bcl-X,BCL2L1
CHEMBL4383,Homo sapiens,9606,Gastric inhibitory polypeptide receptor,GIPR
CHEMBL4860,Homo sapiens,9606,Apoptosis regulator Bcl-2,BCL2
CHEMBL4895,Homo sapiens,9606,Tyrosine-protein kinase receptor UFO,AXL
CHEMBL4898,Homo sapiens,9606,Neurotrophic tyrosine kinase receptor type 2,NTRK2
CHEMBL4899,Homo sapiens,9606,Mitogen-activated protein kinase kinase kinase 8,MAP3K8
CHEMBL4247,Homo sapiens,9606,ALK tyrosine kinase receptor,ALK
CHEMBL4422,Homo sapiens,9606,Free fatty acid receptor 1,FFAR1
CHEMBL5255,Homo sapiens,9606,Toll-like receptor 4,TLR4
CHEMBL4506,Homo sapiens,9606,NAD-dependent deacetylase sirtuin 1,SIRT1
CHEMBL4361,Homo sapiens,9606,Induced myeloid leukemia cell differentiation protein Mcl-1,MCL1
CHEMBL4677,Homo sapiens,9606,Apoptosis regulator Bcl-W,BCL2L2
CHEMBL4163,Homo sapiens,9606,Toll-like receptor 2,TLR2
CHEMBL3785,Homo sapiens,9606,Hydroxycarboxylic acid receptor 2,HCAR2
CHEMBL3486,Plasmodium falciparum,5833,Dihydroorotate dehydrogenase,dhod
CHEMBL3691,Homo sapiens,9606,Autotaxin,ENPP2
CHEMBL4660,Homo sapiens,9606,Lymphocyte differentiation antigen CD38,CD38
CHEMBL4685,Homo sapiens,9606,"Indoleamine 2,3-dioxygenase",IDO1
CHEMBL4915,Homo sapiens,9606,Galectin-1,LGALS1
CHEMBL4692,Homo sapiens,9606,HLA-DR antigens-associated invariant chain,CD74
CHEMBL5174,Homo sapiens,9606,Neuropilin-1,NRP1
CHEMBL4665,Cryptococcus neoformans var. neoformans B-3501A,283643,Thymidylate synthase,TMP1
CHEMBL5493,Homo sapiens,9606,Free fatty acid receptor 2,FFAR2
CHEMBL5274,Homo sapiens,9606,Tyrosine-protein kinase receptor Tie-1,TIE1
CHEMBL5311,Homo sapiens,9606,Serine/threonine-protein kinase receptor R3,ACVRL1
CHEMBL5325,Helicobacter pylori,210,Urease,ureB
CHEMBL5366,Homo sapiens,9606,Poly [ADP-ribose] polymerase 2,PARP2
CHEMBL5331,Homo sapiens,9606,Proto-oncogene tyrosine-protein kinase MER,MERTK
CHEMBL5464,Homo sapiens,9606,Receptor-interacting serine/threonine-protein kinase 1,RIPK1
CHEMBL5466,Homo sapiens,9606,Activin receptor type-2B,ACVR2B
CHEMBL5469,Homo sapiens,9606,Protein tyrosine kinase 2 beta,PTK2B
CHEMBL5568,Homo sapiens,9606,Proto-oncogene tyrosine-protein kinase ROS,ROS1
CHEMBL5608,Homo sapiens,9606,NT-3 growth factor receptor,NTRK3
CHEMBL5094,Klebsiella pneumoniae,573,Beta-lactamase SHV-1,bla
CHEMBL5122,Homo sapiens,9606,Discoidin domain-containing receptor 2,DDR2
CHEMBL5191,Homo sapiens,9606,T-cell-specific surface glycoprotein CD28,CD28
CHEMBL5192,Clostridium botulinum,1491,Botulinum neurotoxin type A,botA
CHEMBL5216,Homo sapiens,9606,Uridine 5'-monophosphate synthase,UMPS
CHEMBL5349,Homo sapiens,9606,High affinity immunoglobulin gamma Fc receptor I,FCGR1A
CHEMBL5352,Bacillus anthracis,1392,Protective antigen,pagA
CHEMBL5398,Homo sapiens,9606,Hepatocyte nuclear factor 4-alpha,HNF4A
CHEMBL5479,Homo sapiens,9606,Hepatocyte growth factor,HGF
CHEMBL5522,Homo sapiens,9606,Transient receptor potential cation channel subfamily V member 3,TRPV3
CHEMBL5580,Homo sapiens,9606,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3,ENPP3
CHEMBL4998,Homo sapiens,9606,Integrin alpha-2,ITGA2
CHEMBL5652,Homo sapiens,9606,Glucose-dependent insulinotropic receptor,GPR119
CHEMBL5661,Homo sapiens,9606,Exportin-1,XPO1
CHEMBL5689,Homo sapiens,9606,Tryptophan 5-hydroxylase 1,TPH1
CHEMBL5714,Homo sapiens,9606,Tumor necrosis factor ligand superfamily member 6,FASLG
CHEMBL5721,Homo sapiens,9606,GMP synthase [glutamine-hydrolyzing],GMPS
CHEMBL5807,Homo sapiens,9606,Myelin-associated glycoprotein,MAG
CHEMBL5815,Homo sapiens,9606,C-C chemokine receptor type 9,CCR9
CHEMBL5857,Homo sapiens,9606,Trace amine-associated receptor 1,TAAR1
CHEMBL5966,Homo sapiens,9606,IgG receptor FcRn large subunit p51,FCGRT
CHEMBL5971,Homo sapiens,9606,Smoothened homolog,SMO
CHEMBL6007,Homo sapiens,9606,Transient receptor potential cation channel subfamily A member 1,TRPA1
CHEMBL6009,Homo sapiens,9606,Diacylglycerol O-acyltransferase 1,DGAT1
CHEMBL6093,Homo sapiens,9606,Calmodulin,CALM1
CHEMBL6131,Escherichia coli,562,Beta-lactamase CTX-M,blaUOE-1
CHEMBL6132,Klebsiella pneumoniae,573,Carbepenem-hydrolyzing beta-lactamase KPC,bla
CHEMBL5619,Homo sapiens,9606,DNA-(apurinic or apyrimidinic site) lyase,APEX1
CHEMBL5697,Homo sapiens,9606,Egl nine homolog 1,EGLN1
CHEMBL5705,Homo sapiens,9606,Egl nine homolog 3,EGLN3
CHEMBL5731,Homo sapiens,9606,Complement factor B,CFB
CHEMBL5742,Homo sapiens,9606,Translocator protein,TSPO
CHEMBL5804,Homo sapiens,9606,Toll-like receptor 9,TLR9
CHEMBL5805,Homo sapiens,9606,Toll-like receptor 8,TLR8
CHEMBL5936,Homo sapiens,9606,Toll-like receptor 7,TLR7
CHEMBL6044,Homo sapiens,9606,Bcl-2-related protein A1,BCL2A1
CHEMBL6135,Influenza A virus,382835,Neuraminidase,NA
CHEMBL6136,Homo sapiens,9606,Lysine-specific histone demethylase 1,KDM1A
CHEMBL1075091,Hepatitis B virus,10407,Core antigen,HBcAg
CHEMBL5957,Homo sapiens,9606,5'-nucleotidase,NT5E
CHEMBL5988,Homo sapiens,9606,Bcl-2-like protein 10,BCL2L10
CHEMBL5989,Homo sapiens,9606,Baculoviral IAP repeat-containing protein 5,BIRC5
CHEMBL6024,Homo sapiens,9606,Dickkopf-related protein 1,DKK1
CHEMBL5838,Homo sapiens,9606,Receptor tyrosine-protein kinase erbB-3,ERBB3
CHEMBL5844,Homo sapiens,9606,Glucagon-like peptide 2 receptor,GLP2R
CHEMBL5913,Homo sapiens,9606,Leptin receptor,LEPR
CHEMBL6120,Homo sapiens,9606,Solute carrier family 22 member 12,SLC22A12
CHEMBL6152,Homo sapiens,9606,Alpha-synuclein,SNCA
CHEMBL6157,Homo sapiens,9606,Tumor susceptibility gene 101 protein,TSG101
CHEMBL6065,Mycobacterium tuberculosis,1773,Dihydrofolate reductase,folA
CHEMBL1075259,Staphylococcus aureus,1280,Alpha-hemolysin,hly
CHEMBL1075113,Homo sapiens,9606,Toll-like receptor 3,TLR3
CHEMBL1075126,Homo sapiens,9606,Pyruvate kinase isozymes R/L,PKLR
CHEMBL1075153,Homo sapiens,9606,Tumor necrosis factor receptor superfamily member 10B,TNFRSF10B
CHEMBL1075094,Homo sapiens,9606,Nuclear factor erythroid 2-related factor 2,NFE2L2
CHEMBL1075313,Influenza A virus (A/Puerto Rico/8/1934(H1N1)),211044,Hemagglutinin,HA
CHEMBL1075319,Homo sapiens,9606,Transient receptor potential cation channel subfamily M member 8,TRPM8
CHEMBL1163124,Homo sapiens,9606,Mitogen-activated protein kinase kinase kinase 13,MAP3K13
CHEMBL1169596,Homo sapiens,9606,Serine/threonine-protein kinase A-Raf,ARAF
CHEMBL1169598,Influenza A virus (A/Puerto Rico/8/1934(H1N1)),211044,Polymerase acidic protein,PA
CHEMBL1169600,Homo sapiens,9606,Interleukin-5,IL5
CHEMBL1250358,Homo sapiens,9606,Tumor necrosis factor receptor superfamily member 5,CD40
CHEMBL1250360,Homo sapiens,9606,Tumor necrosis factor receptor superfamily member 3,LTBR
CHEMBL1250375,Homo sapiens,9606,NADPH oxidase 4,NOX4
CHEMBL1250417,Homo sapiens,9606,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4,HCN4
CHEMBL1255163,Homo sapiens,9606,Probable protein-cysteine N-palmitoyltransferase porcupine,PORCN
CHEMBL1275223,Homo sapiens,9606,Heat shock cognate 71 kDa protein,HSPA8
CHEMBL1287608,Human herpesvirus 5,10359,Phosphotransferase pUL97,UL97
CHEMBL1287628,Homo sapiens,9606,NADPH oxidase 1,NOX1
CHEMBL1293224,Homo sapiens,9606,Microtubule-associated protein tau,MAPT
CHEMBL1293232,Homo sapiens,9606,Survival motor neuron protein,SMN1
CHEMBL1293232,Homo sapiens,9606,Survival motor neuron protein,SMN2
CHEMBL1293266,Homo sapiens,9606,Nucleotide-binding oligomerization domain-containing protein 2,NOD2
CHEMBL1293311,Human immunodeficiency virus 1,11676,Envelope glycoprotein gp160,env
CHEMBL1293316,Homo sapiens,9606,Relaxin receptor 1,RXFP1
CHEMBL1628478,Homo sapiens,9606,Chloride channel protein 2,CLCN2
CHEMBL1628481,Homo sapiens,9606,Apelin receptor,APLNR
CHEMBL1628482,Homo sapiens,9606,Relaxin receptor 2,RXFP2
CHEMBL1641347,Homo sapiens,9606,Solute carrier family 22 member 6,SLC22A6
CHEMBL1641348,Homo sapiens,9606,Solute carrier family 22 member 8,SLC22A8
CHEMBL1641353,Homo sapiens,9606,DNA-directed RNA polymerase II subunit RPB1,POLR2A
CHEMBL1649052,Homo sapiens,9606,C-C motif chemokine 2,CCL2
CHEMBL1649058,Homo sapiens,9606,Beta-nerve growth factor,NGF
CHEMBL1681630,Human immunodeficiency virus 2,11709,Reverse transcriptase,reverse
CHEMBL1681630,Human immunodeficiency virus 2,11709,Reverse transcriptase,transcriptase
CHEMBL1697671,Homo sapiens,9606,Placenta growth factor,PGF
CHEMBL1697674,Homo sapiens,9606,Triggering receptor expressed on myeloid cells 1,TREM1
CHEMBL1741186,Homo sapiens,9606,Nuclear receptor ROR-gamma,RORC
CHEMBL1741208,Homo sapiens,9606,"NACHT, LRR and PYD domains-containing protein 3",NLRP3
CHEMBL1741305,Homo sapiens,9606,Interleukin-18,IL18
CHEMBL1741309,Homo sapiens,9606,Osteopontin,SPP1
CHEMBL1744522,Homo sapiens,9606,Endothelial PAS domain-containing protein 1,EPAS1
CHEMBL1744525,Homo sapiens,9606,Nicotinamide phosphoribosyltransferase,NAMPT
CHEMBL1781870,Homo sapiens,9606,"Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 1",INPP5D
CHEMBL1795108,Homo sapiens,9606,Elongation factor 2,EEF2
CHEMBL1795116,Homo sapiens,9606,Protein arginine N-methyltransferase 5,PRMT5
CHEMBL1795122,Homo sapiens,9606,Elongation factor 1-alpha 2,EEF1A2
CHEMBL1795129,Homo sapiens,9606,Interleukin-6,IL6
CHEMBL1795178,Homo sapiens,9606,Transforming growth factor beta-1,TGFB1
CHEMBL1795197,Homo sapiens,9606,Heat-stable enterotoxin receptor,GUCY2C
